,Date,Team,Returned,Injured,Injury,Length
23604,2015-12-03,Kings,,Willie Cauley-Stein,dislocated right index finger,(out indefinitely)
23605,2015-12-03,Nuggets,,Kenneth Faried,ankle injury,(DTD)
23606,2015-12-03,Pistons,,Aron Baynes,surgery to repair fractured nose,(did not miss any games)
23607,2015-12-04,Bucks,,Tyler Ennis,sore left shoulder,(DTD)
23608,2015-12-04,Rockets,,Dwight Howard,rest,(DTD)
23609,2015-12-04,Wizards,,Kris Humphries,sprained left ankle,(DTD)
23610,2015-12-05,Bulls,,Aaron Brooks,strained left hamstring,(DTD)
23611,2015-12-05,Bulls,Kirk Hinrich,,returned to lineup,(Length Undetermined)
23612,2015-12-05,Cavaliers,,LeBron James,rest,(DTD)
23613,2015-12-05,Celtics,,David Lee,bruised right heel,(DTD)
23614,2015-12-05,Nuggets,Kenneth Faried,,returned to lineup,(Length Undetermined)
23615,2015-12-05,Rockets,Dwight Howard,,returned to lineup,(Length Undetermined)
23616,2015-12-05,Warriors,,Andrew Bogut,back spasms,(DTD)
23617,2015-12-06,Grizzlies,,Brandan Wright,sore right knee,(DTD)
23618,2015-12-06,Mavericks,,Chandler Parsons,rest,(DNP)
23619,2015-12-06,Mavericks,,Dwight Powell,sore knee,(DTD)
23620,2015-12-06,Mavericks,,JaVale McGee,rest,(DTD)
23621,2015-12-06,Nets,,Rondae Hollis-Jefferson,right ankle injury,(DTD)
23622,2015-12-06,Nets,,Sergey Karasev,sprained left ankle,(DTD)
23623,2015-12-06,Warriors,Andrew Bogut,,returned to lineup,(Length Undetermined)
23624,2015-12-07,Bucks,Tyler Ennis,,returned to lineup,(Length Undetermined)
23625,2015-12-07,Celtics,,R.J. Hunter,strained left hip flexor,(DTD)
23626,2015-12-07,Clippers,J.J. Redick,,returned to lineup,(Length Undetermined)
23627,2015-12-07,Mavericks,JaVale McGee,,returned to lineup,(Length Undetermined)
23628,2015-12-07,Spurs,,Emanuel Ginobili / Manu Ginobili,rest,(DTD)
23629,2015-12-07,Wizards,Kris Humphries,,returned to lineup,(Length Undetermined)
23630,2015-12-08,Cavaliers,LeBron James,,returned to lineup,(Length Undetermined)
23631,2015-12-08,Magic,,Aaron Gordon,ankle injury,(DTD)
23632,2015-12-08,Nets,Sergey Karasev,,returned to lineup,(Length Undetermined)
23633,2015-12-08,Warriors,,Leandro Barbosa,illness,(DTD)
23634,2015-12-09,Celtics,David Lee,,returned to lineup,(Length Undetermined)
23635,2015-12-09,Grizzlies,,Brandan Wright,sore right knee,(DTD)
23636,2015-12-09,Hawks,,Mike Scott,knee injury,(DTD)
23637,2015-12-09,Hawks,Tiago Splitter,,returned to lineup,(Length Undetermined)
23638,2015-12-09,Magic,Aaron Gordon,,returned to lineup,(Length Undetermined)
23639,2015-12-09,Nets,,Rondae Hollis-Jefferson,surgery on right ankle to repair fractured bone,(out indefinitely)
23640,2015-12-09,Rockets,,Trevor Ariza,bruised lower back,(DTD)
23641,2015-12-09,Wizards,,Kris Humphries,sprained left ankle,(DTD)
23642,2015-12-09,Raptors,,Lucas Nogueira,sprained left ankle,(DTD)
